"NPA","NXX","OCN","Company","Status","RateCenter"
204,201,8304,"MTS Allstream","In Service","Winnipeg"
204,203,"498E","Provincial Tel Inc.","In Service","Poplar Point"
204,205,8821,"Rogers Wireless Partnership","In Service","Beausejour"
204,206,8821,"Rogers Wireless Partnership","In Service","Teulon"
204,207,8821,"Rogers Wireless Partnership","In Service","Roblin"
204,208,8821,"Rogers Wireless Partnership","In Service","Pilot Mound"
204,209,8821,"Rogers Wireless Partnership","In Service","Morris"
204,210,8821,"Rogers Wireless Partnership","In Service","Minnedosa"
204,212,8821,"Rogers Wireless Partnership","In Service","Neepawa"
204,213,8821,"Rogers Wireless Partnership","In Service","Lac Du Bonnet"
204,214,8821,"Rogers Wireless Partnership","In Service","Eriksdale"
204,215,8821,"Rogers Wireless Partnership","In Service","Boissevain"
204,216,8821,"Rogers Wireless Partnership","In Service","Altona"
204,218,8303,"TELUS Mobility","In Service","Winnipeg"
204,219,"497E","Shaw Telecom Inc.","In Service","Winnipeg"
204,220,2933,"Bell West Inc.","In Service","Winnipeg"
204,221,"497E","Shaw Telecom Inc.","In Service","Winnipeg"
204,222,8088,"MTS Communications Inc","In Service","Winnipeg"
204,223,"991B","MTS Communications Inc","In Service","Winnipeg"
204,224,8088,"MTS Communications Inc","In Service","Winnipeg"
204,225,8088,"MTS Communications Inc","In Service","Winnipeg"
204,226,"991B","MTS Communications Inc","In Service","Winnipeg"
204,227,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,228,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,229,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,230,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,231,8088,"MTS Communications Inc","In Service","Winnipeg"
204,232,"991B","MTS Communications Inc","In Service","Winnipeg"
204,233,8088,"MTS Communications Inc","In Service","Winnipeg"
204,234,8088,"MTS Communications Inc","In Service","Oakburn"
204,235,8088,"MTS Communications Inc","In Service","Winnipeg"
204,236,8088,"MTS Communications Inc","In Service","Birch River"
204,237,8088,"MTS Communications Inc","In Service","Winnipeg"
204,238,8088,"MTS Communications Inc","In Service","Bowsman"
204,239,8088,"MTS Communications Inc","In Service","Portage La Prairie"
204,240,"497E","Shaw Telecom Inc.","In Service","Portage La Prairie"
204,241,"497E","Shaw Telecom Inc.","In Service","Southport"
204,242,8088,"MTS Communications Inc","In Service","Manitou"
204,243,8088,"MTS Communications Inc","In Service","Poplar Point"
204,244,8088,"MTS Communications Inc","In Service","Poplar River"
204,245,"991B","MTS Communications Inc","In Service","Pilot Mound"
204,246,8088,"MTS Communications Inc","In Service","Darlingford"
204,247,"991B","MTS Communications Inc","In Service","Roblin"
204,248,8088,"MTS Communications Inc","In Service","Notre Dame de Lourdes"
204,249,"991B","MTS Communications Inc","In Service","Portage La Prairie"
204,250,"991B","MTS Communications Inc","In Service","Winnipeg"
204,251,"991B","MTS Communications Inc","Assigned","Winnipeg"
204,252,8088,"MTS Communications Inc","In Service","Edwin"
204,253,8088,"MTS Communications Inc","In Service","Winnipeg"
204,254,8088,"MTS Communications Inc","In Service","Winnipeg"
204,255,8088,"MTS Communications Inc","In Service","Winnipeg"
204,256,8088,"MTS Communications Inc","In Service","Winnipeg"
204,257,8088,"MTS Communications Inc","In Service","Winnipeg"
204,258,8088,"MTS Communications Inc","In Service","Winnipeg"
204,259,2782,"TELUS Integrated Communications","In Service","Winnipeg"
204,260,"991B","MTS Communications Inc","In Service","Winnipeg"
204,261,8088,"MTS Communications Inc","In Service","Winnipeg"
204,262,8088,"MTS Communications Inc","In Service","Winnipeg"
204,263,8088,"MTS Communications Inc","In Service","Pine River"
204,264,"991B","MTS Communications Inc","In Service","Melita"
204,265,8088,"MTS Communications Inc","In Service","Brokenhead"
204,266,"991B","MTS Communications Inc","In Service","Beausejour"
204,267,8088,"MTS Communications Inc","In Service","Oakville"
204,268,8088,"MTS Communications Inc","In Service","Beausejour"
204,269,8088,"MTS Communications Inc","In Service","Winnipeg"
204,270,"991B","MTS Communications Inc","In Service","Lorette"
204,271,"991B","MTS Communications Inc","In Service","Flin Flon"
204,272,8506,"GT Group Telecom Services Corp.","In Service","Winnipeg"
204,274,8088,"MTS Communications Inc","In Service","Macdonald"
204,275,8088,"MTS Communications Inc","In Service","Winnipeg"
204,276,8088,"MTS Communications Inc","In Service","Pine Dock"
204,277,8088,"MTS Communications Inc","In Service","Bissett"
204,278,8088,"MTS Communications Inc","In Service","Inwood"
204,279,8088,"MTS Communications Inc","In Service","Hecla"
204,280,"991B","MTS Communications Inc","In Service","Eriksdale"
204,281,"991B","MTS Communications Inc","In Service","Swan River"
204,282,2933,"Bell West Inc.","In Service","Winnipeg"
204,283,2933,"Bell West Inc.","In Service","Winnipeg"
204,284,8088,"MTS Communications Inc","In Service","Winnipeg"
204,285,2933,"Bell West Inc.","In Service","Winnipeg"
204,286,8088,"MTS Communications Inc","In Service","Thicket Portage"
204,287,8088,"MTS Communications Inc","In Service","Winnipeg"
204,288,8088,"MTS Communications Inc","In Service","Ilford"
204,289,"201A","Globility","In Service","Winnipeg"
204,290,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,291,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,292,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,293,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,294,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,295,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,296,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,297,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,298,8821,"Rogers Wireless Partnership","In Service","Winnipeg"
204,299,"991B","MTS Communications Inc","In Service","Winnipeg"
204,301,"991B","MTS Communications Inc","In Service","Norway House"
204,302,"991B","MTS Communications Inc","In Service","Ashern"
204,303,"991B","MTS Communications Inc","In Service","Rivers"
204,304,"991B","MTS Communications Inc","In Service","Altona"
204,305,"991B","MTS Communications Inc","In Service","Boissevain"
204,307,"991B","MTS Communications Inc","In Service","Thompson"
204,308,"991B","MTS Communications Inc","In Service","Fisher River"
204,309,"991B","MTS Communications Inc","In Service","Grand Rapids"
204,310,8088,"MTS Communications Inc","In Service","7 Digit Service"
204,312,8821,"Rogers Wireless Partnership","In Service","Winkler"
204,313,"498E","Provincial Tel Inc.","In Service","Roland"
204,317,"498E","Provincial Tel Inc.","In Service","Pine Falls"
204,318,8506,"GT Group Telecom Services Corp.","In Service","Winnipeg"
204,319,8088,"MTS Communications Inc","In Service","Altona"
204,320,8088,"MTS Communications Inc","In Service","Steinbach"
204,321,8088,"MTS Communications Inc","In Service","Brandon"
204,322,8088,"MTS Communications Inc","In Service","Warren"
204,323,8088,"MTS Communications Inc","In Service","Brochet"
204,324,8088,"MTS Communications Inc","In Service","Altona"
204,325,8088,"MTS Communications Inc","In Service","Winkler"
204,326,8088,"MTS Communications Inc","In Service","Steinbach"
204,327,8088,"MTS Communications Inc","In Service","Gretna"
204,328,8088,"MTS Communications Inc","In Service","Rivers"
204,329,8088,"MTS Communications Inc","In Service","Easterville"
204,330,"991B","MTS Communications Inc","In Service","Winnipeg"
204,331,8088,"MTS Communications Inc","In Service","Winkler"
204,332,"991B","MTS Communications Inc","In Service","Winkler"
204,333,8819,"TELUS Mobility","In Service","Winnipeg"
204,334,8088,"MTS Communications Inc","In Service","Winnipeg"
204,335,8088,"MTS Communications Inc","In Service","Gods Lake Narrows"
204,336,8088,"MTS Communications Inc","In Service","Winnipeg"
204,337,8088,"MTS Communications Inc","In Service","Lac Brochet"
204,338,8088,"MTS Communications Inc","In Service","Winnipeg"
204,339,8088,"MTS Communications Inc","In Service","Winnipeg"
204,340,"991B","MTS Communications Inc","In Service","Lac du Bonnet"
204,341,8088,"MTS Communications Inc","In Service","York Landing"
204,342,8088,"MTS Communications Inc","In Service","Split Lake"
204,343,8088,"MTS Communications Inc","In Service","Roland"
204,344,8088,"MTS Communications Inc","In Service","Stony Mountain"
204,345,8088,"MTS Communications Inc","In Service","Lac Du Bonnet"
204,346,8088,"MTS Communications Inc","In Service","Steinbach"
204,347,8088,"MTS Communications Inc","In Service","St. Malo"
204,348,8088,"MTS Communications Inc","In Service","Whitemouth"
204,349,8088,"MTS Communications Inc","In Service","Falcon Lake"
204,350,"498E","Provincial Tel Inc.","Assigned","Lac Du Bonnet"
204,351,"498E","Provincial Tel Inc.","In Service","Whitemouth"
204,352,8088,"MTS Communications Inc","In Service","Glenella"
204,353,8088,"MTS Communications Inc","In Service","Elie"
204,354,8088,"MTS Communications Inc","In Service","Brookdale"
204,355,8088,"MTS Communications Inc","In Service","Landmark"
204,356,8088,"MTS Communications Inc","In Service","Lynn Lake"
204,357,8088,"MTS Communications Inc","In Service","Cormorant"
204,358,8088,"MTS Communications Inc","In Service","Snow Lake"
204,359,8088,"MTS Communications Inc","In Service","Norway House"
204,360,8088,"MTS Communications Inc","In Service","Winnipeg"
204,361,"991B","MTS Communications Inc","In Service","Winkler"
204,362,"991B","MTS Communications Inc","In Service","Winkler"
204,363,8088,"MTS Communications Inc","In Service","Manigotagan"
204,364,8088,"MTS Communications Inc","In Service","Vidir"
204,365,8088,"MTS Communications Inc","In Service","Strathclair"
204,366,8088,"MTS Communications Inc","In Service","Gods River"
204,367,8088,"MTS Communications Inc","In Service","Pine Falls"
204,368,8088,"MTS Communications Inc","In Service","Arden"
204,369,8088,"MTS Communications Inc","In Service","Rennie"
204,370,"991B","MTS Communications Inc","In Service","Steinbach"
204,371,"991B","MTS Communications Inc","In Service","Steinbach"
204,372,8088,"MTS Communications Inc","In Service","Fisher Branch"
204,373,8088,"MTS Communications Inc","In Service","Emerson"
204,374,8088,"MTS Communications Inc","In Service","South Indian Lake"
204,375,8088,"MTS Communications Inc","In Service","Marquette"
204,376,8088,"MTS Communications Inc","In Service","Arborg"
204,377,8088,"MTS Communications Inc","In Service","Kleefeld"
204,378,8088,"MTS Communications Inc","In Service","Riverton"
204,379,8088,"MTS Communications Inc","In Service","St. Claude"
204,380,"991B","MTS Communications Inc","In Service","Steinbach"
204,381,8821,"Rogers Wireless Partnership","In Service","Steinbach"
204,382,8088,"MTS Communications Inc","In Service","Berens River"
204,383,8088,"MTS Communications Inc","In Service","Woodlands"
204,384,8821,"Rogers Wireless Partnership","In Service","Winkler"
204,385,8088,"MTS Communications Inc","In Service","Gladstone"
204,386,8088,"MTS Communications Inc","In Service","Plumas"
204,388,8088,"MTS Communications Inc","In Service","Niverville"
204,389,8088,"MTS Communications Inc","In Service","Winnipeg Beach"
204,391,"991B","MTS Communications Inc","In Service","Winnipeg"
204,392,"991B","MTS Communications Inc","In Service","Steinbach"
204,393,"498E","Provincial Tel Inc.","In Service","Berens River"
204,394,8088,"MTS Communications Inc","In Service","Jackhead"
204,395,8088,"MTS Communications Inc","In Service","Bloodvein"
204,397,8088,"MTS Communications Inc","In Service","Little Grand Rapids"
204,398,"498E","Provincial Tel Inc.","In Service","Rivers"
204,399,8819,"TELUS Mobility","In Service","Winnipeg"
204,412,8821,"Rogers Wireless Partnership","In Service","Rivers"
204,414,"497E","Shaw Telecom Inc.","In Service","Winnipeg"
204,415,"497E","Shaw Telecom Inc.","In Service","Winnipeg"
204,416,"497E","Shaw Telecom Inc.","In Service","Winnipeg"
204,417,"497E","Shaw Telecom Inc.","Assigned","Winnipeg"
204,420,"498E","Provincial Tel Inc.","In Service","Selkirk"
204,422,8088,"MTS Communications Inc","In Service","Ste. Anne"
204,423,8088,"MTS Communications Inc","In Service","Piney"
204,424,8088,"MTS Communications Inc","In Service","La Broquerie"
204,425,8088,"MTS Communications Inc","In Service","Vita"
204,426,8088,"MTS Communications Inc","In Service","Hadashville"
204,427,8088,"MTS Communications Inc","In Service","Dominion City"
204,428,8088,"MTS Communications Inc","In Service","Southport"
204,429,8088,"MTS Communications Inc","In Service","Woodridge"
204,432,"498E","Provincial Tel Inc.","Assigned","Miami"
204,433,8088,"MTS Communications Inc","In Service","St. Pierre"
204,434,8088,"MTS Communications Inc","In Service","Grunthal"
204,435,8088,"MTS Communications Inc","In Service","Miami"
204,436,8088,"MTS Communications Inc","In Service","Elm Creek"
204,437,8088,"MTS Communications Inc","In Service","Sprague"
204,438,"498E","Provincial Tel Inc.","In Service","Petersfield"
204,443,"498E","Provincial Tel Inc.","In Service","Oakbank"
204,444,8088,"MTS Communications Inc","In Service","Oakbank"
204,445,8088,"MTS Communications Inc","In Service","Langruth"
204,446,"141F","LES.NET (1996) Inc.","Assigned","Oakbank"
204,447,8088,"MTS Communications Inc","In Service","Ste. Rose du Lac"
204,448,8088,"MTS Communications Inc","In Service","Eddystone"
204,449,8088,"MTS Communications Inc","In Service","Steep Rock"
204,451,"991B","MTS Communications Inc","Assigned","Winnipeg"
204,452,8088,"MTS Communications Inc","In Service","Winnipeg"
204,453,8088,"MTS Communications Inc","In Service","Winnipeg"
204,454,"141F","LES.NET (1996) Inc.","Assigned","Stonewall"
204,456,8088,"MTS Communications Inc","In Service","Garden Hill"
